medicine_name,brand_name,generic_name,country,status,regulation_type,authority,reason,alternatives,traveller_advice,source,last_updated,document
Paracetamol,Crocin / Tylenol,Paracetamol,India,Allowed,OTC,CDSCO,"No restriction, widely used analgesic/antipyretic",Ibuprofen,Safe to carry in personal-use quantities,CDSCO Guidelines,2026-07-20,"Medicine: Paracetamol. Brand: Crocin / Tylenol. Generic: Paracetamol. Country: India. Status: Allowed. Regulation Type: OTC. Authority: CDSCO. Reason: No restriction, widely used analgesic/antipyretic. Alternatives: Ibuprofen. Traveller Advice: Safe to carry in personal-use quantities."
Paracetamol,Crocin / Tylenol,Paracetamol,USA,Allowed,OTC,FDA / DEA,"No restriction, widely used analgesic/antipyretic",Ibuprofen,Safe to carry in personal-use quantities,FDA / DEA Guidelines,2026-07-20,"Medicine: Paracetamol. Brand: Crocin / Tylenol. Generic: Paracetamol. Country: USA. Status: Allowed. Regulation Type: OTC. Authority: FDA / DEA. Reason: No restriction, widely used analgesic/antipyretic. Alternatives: Ibuprofen. Traveller Advice: Safe to carry in personal-use quantities."
Paracetamol,Crocin / Tylenol,Paracetamol,UK,Allowed,OTC,MHRA / Home Office,"No restriction, widely used analgesic/antipyretic",Ibuprofen,Safe to carry in personal-use quantities,MHRA / Home Office Guidelines,2026-07-20,"Medicine: Paracetamol. Brand: Crocin / Tylenol. Generic: Paracetamol. Country: UK. Status: Allowed. Regulation Type: OTC. Authority: MHRA / Home Office. Reason: No restriction, widely used analgesic/antipyretic. Alternatives: Ibuprofen. Traveller Advice: Safe to carry in personal-use quantities."
Paracetamol,Crocin / Tylenol,Paracetamol,Japan,Allowed,OTC,MHLW,"No restriction, widely used analgesic/antipyretic",Ibuprofen,Safe to carry in personal-use quantities,MHLW Guidelines,2026-07-20,"Medicine: Paracetamol. Brand: Crocin / Tylenol. Generic: Paracetamol. Country: Japan. Status: Allowed. Regulation Type: OTC. Authority: MHLW. Reason: No restriction, widely used analgesic/antipyretic. Alternatives: Ibuprofen. Traveller Advice: Safe to carry in personal-use quantities."
Paracetamol,Crocin / Tylenol,Paracetamol,UAE,Allowed,OTC,MOHAP,"No restriction, widely used analgesic/antipyretic",Ibuprofen,Safe to carry in personal-use quantities,MOHAP Guidelines,2026-07-20,"Medicine: Paracetamol. Brand: Crocin / Tylenol. Generic: Paracetamol. Country: UAE. Status: Allowed. Regulation Type: OTC. Authority: MOHAP. Reason: No restriction, widely used analgesic/antipyretic. Alternatives: Ibuprofen. Traveller Advice: Safe to carry in personal-use quantities."
Paracetamol,Crocin / Tylenol,Paracetamol,Singapore,Allowed,OTC,HSA,"No restriction, widely used analgesic/antipyretic",Ibuprofen,Safe to carry in personal-use quantities,HSA Guidelines,2026-07-20,"Medicine: Paracetamol. Brand: Crocin / Tylenol. Generic: Paracetamol. Country: Singapore. Status: Allowed. Regulation Type: OTC. Authority: HSA. Reason: No restriction, widely used analgesic/antipyretic. Alternatives: Ibuprofen. Traveller Advice: Safe to carry in personal-use quantities."
Paracetamol,Crocin / Tylenol,Paracetamol,Australia,Allowed,OTC,TGA,"No restriction, widely used analgesic/antipyretic",Ibuprofen,Safe to carry in personal-use quantities,TGA Guidelines,2026-07-20,"Medicine: Paracetamol. Brand: Crocin / Tylenol. Generic: Paracetamol. Country: Australia. Status: Allowed. Regulation Type: OTC. Authority: TGA. Reason: No restriction, widely used analgesic/antipyretic. Alternatives: Ibuprofen. Traveller Advice: Safe to carry in personal-use quantities."
Paracetamol,Crocin / Tylenol,Paracetamol,Canada,Allowed,OTC,Health Canada,"No restriction, widely used analgesic/antipyretic",Ibuprofen,Safe to carry in personal-use quantities,Health Canada Guidelines,2026-07-20,"Medicine: Paracetamol. Brand: Crocin / Tylenol. Generic: Paracetamol. Country: Canada. Status: Allowed. Regulation Type: OTC. Authority: Health Canada. Reason: No restriction, widely used analgesic/antipyretic. Alternatives: Ibuprofen. Traveller Advice: Safe to carry in personal-use quantities."
Paracetamol,Crocin / Tylenol,Paracetamol,Germany,Allowed,OTC,BfArM,"No restriction, widely used analgesic/antipyretic",Ibuprofen,Safe to carry in personal-use quantities,BfArM Guidelines,2026-07-20,"Medicine: Paracetamol. Brand: Crocin / Tylenol. Generic: Paracetamol. Country: Germany. Status: Allowed. Regulation Type: OTC. Authority: BfArM. Reason: No restriction, widely used analgesic/antipyretic. Alternatives: Ibuprofen. Traveller Advice: Safe to carry in personal-use quantities."
Paracetamol,Crocin / Tylenol,Paracetamol,France,Allowed,OTC,ANSM,"No restriction, widely used analgesic/antipyretic",Ibuprofen,Safe to carry in personal-use quantities,ANSM Guidelines,2026-07-20,"Medicine: Paracetamol. Brand: Crocin / Tylenol. Generic: Paracetamol. Country: France. Status: Allowed. Regulation Type: OTC. Authority: ANSM. Reason: No restriction, widely used analgesic/antipyretic. Alternatives: Ibuprofen. Traveller Advice: Safe to carry in personal-use quantities."
